date|close_price|high_price|low_price
19/05/2015|536.82|537.19|530.00
20/05/2015|550.10|550.33|536.07
21/05/2015|552.56|554.00|547.95
22/05/2015|561.82|561.82|550.81
25/05/2015|563.00|563.84|558.50
26/05/2015|567.20|570.29|562.58
27/05/2015|566.48|569.63|563.28
28/05/2015|572.97|576.92|564.73
29/05/2015|569.56|577.03|568.70
01/06/2015|574.98|579.58|570.14
02/06/2015|570.31|581.24|570.31
03/06/2015|567.90|573.91|567.81
04/06/2015|568.99|573.50|567.89
05/06/2015|578.07|579.01|568.37
08/06/2015|579.83|585.51|580.74
09/06/2015|574.47|582.13|573.73
10/06/2015|574.10|576.62|569.59
11/06/2015|581.05|582.68|575.25
12/06/2015|582.73|585.01|578.80
15/06/2015|586.48|586.67|581.35
16/06/2015|580.35|589.33|580.35
17/06/2015|578.87|584.04|575.88
18/06/2015|580.35|583.02|578.47
19/06/2015|584.70|588.48|582.47
22/06/2015|594.08|594.08|588.01
23/06/2015|593.07|595.11|590.76
24/06/2015|590.02|594.01|589.02
25/06/2015|587.99|590.37|585.34
26/06/2015|581.75|592.59|581.75
29/06/2015|591.75|591.75|579.61
30/06/2015|593.05|598.98|588.77
01/07/2015|591.50|594.52|587.33
02/07/2015|605.70|605.70|590.52
03/07/2015|616.43|617.96|608.82
06/07/2015|625.22|625.34|618.65
07/07/2015|630.27|633.73|620.59
08/07/2015|623.17|634.13|617.29
09/07/2015|622.10|626.38|613.34
10/07/2015|627.28|630.79|624.70
13/07/2015|634.06|637.07|627.69
14/07/2015|638.69|640.43|628.43
15/07/2015|630.89|641.06|630.89
16/07/2015|626.90|632.21|622.57
17/07/2015|628.63|631.67|626.21
20/07/2015|620.54|624.84|616.11
21/07/2015|616.61|624.47|613.83
22/07/2015|629.85|629.94|613.58
23/07/2015|632.01|637.91|631.43
24/07/2015|631.26|634.61|627.99
27/07/2015|635.46|636.84|629.42
28/07/2015|631.47|639.54|631.47
29/07/2015|624.70|634.64|624.70
30/07/2015|626.57|627.11|622.43
31/07/2015|621.06|629.97|621.06
03/08/2015|609.47|617.12|605.63
04/08/2015|600.76|609.91|600.76
05/08/2015|607.08|608.21|600.68
06/08/2015|601.04|609.31|600.85
07/08/2015|603.76|604.04|597.75
10/08/2015|614.53|614.53|603.82
11/08/2015|613.05|619.69|611.17
12/08/2015|604.24|611.46|602.01
13/08/2015|594.26|604.24|590.44
14/08/2015|589.03|598.55|585.97
17/08/2015|573.15|591.20|571.26
18/08/2015|580.22|580.22|571.22
19/08/2015|577.82|580.99|569.21
20/08/2015|566.69|577.82|565.09
21/08/2015|556.30|566.69|542.31
24/08/2015|526.93|556.30|523.55
25/08/2015|529.98|535.48|511.13
26/08/2015|545.89|545.89|529.98
27/08/2015|555.81|558.93|545.89
28/08/2015|570.87|570.87|555.81
31/08/2015|564.75|573.10|563.99
01/09/2015|562.31|569.18|561.28
03/09/2015|554.30|562.31|551.47
04/09/2015|556.81|558.90|554.77
07/09/2015|554.93|560.09|554.44
08/09/2015|566.72|566.72|554.34
09/09/2015|572.34|574.73|566.72
10/09/2015|572.07|576.13|567.09
11/09/2015|566.74|573.99|566.18
14/09/2015|562.17|572.25|561.46
15/09/2015|563.27|565.05|561.10
16/09/2015|564.13|564.82|561.69
17/09/2015|562.48|565.85|562.48
18/09/2015|566.25|569.50|562.48
21/09/2015|572.12|572.26|565.16
22/09/2015|573.20|575.17|570.26
23/09/2015|572.72|573.85|569.51
24/09/2015|570.25|575.36|570.12
25/09/2015|570.38|572.09|567.71
28/09/2015|564.88|572.15|564.88
29/09/2015|561.19|564.88|557.65
30/09/2015|562.64|565.65|561.19
01/10/2015|563.54|565.63|562.64
02/10/2015|562.31|565.01|561.73
05/10/2015|570.00|570.00|563.95
06/10/2015|581.29|581.38|570.00
